Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,1.270000,1.290000,1.270000,1.280000,0.760950,28637
2017-01-03,1.280000,1.280000,1.240000,1.270000,0.755005,48299
2017-01-04,1.240000,1.280000,1.240000,1.260000,0.749060,6135
2017-01-05,1.260000,1.260000,1.230000,1.260000,0.749060,40322
2017-01-06,1.250000,1.250000,1.220000,1.250000,0.743115,21290
2017-01-09,1.250000,1.250000,1.200000,1.250000,0.743115,19364
2017-01-10,1.250000,1.260000,1.230000,1.260000,0.749060,8506
2017-01-11,1.230000,1.250000,1.210000,1.230000,0.731226,84415
2017-01-12,1.240000,1.250000,1.240000,1.240000,0.737171,213784
2017-01-13,1.250000,1.260000,1.240000,1.240000,0.737171,45415
2017-01-16,1.250000,1.260000,1.250000,1.260000,0.749060,47617
2017-01-17,1.260000,1.260000,1.240000,1.250000,0.743115,31868
2017-01-18,1.250000,1.280000,1.240000,1.270000,0.755005,49105
2017-01-19,1.270000,1.270000,1.250000,1.250000,0.743115,125564
2017-01-20,1.250000,1.260000,1.240000,1.240000,0.737171,34598
2017-01-23,1.250000,1.270000,1.240000,1.250000,0.743115,34882
2017-01-24,1.250000,1.260000,1.250000,1.260000,0.749060,9670
2017-01-25,1.260000,1.260000,1.240000,1.240000,0.737171,21754
2017-01-26,1.250000,1.270000,1.240000,1.270000,0.755005,63255
2017-01-27,1.270000,1.270000,1.250000,1.270000,0.755005,67589
2017-01-30,1.270000,1.300000,1.260000,1.300000,0.772840,232801
2017-01-31,1.300000,1.330000,1.300000,1.330000,0.790675,410802
2017-02-01,1.330000,1.350000,1.330000,1.350000,0.802565,77451
2017-02-02,1.350000,1.370000,1.340000,1.350000,0.802565,94341
2017-02-03,1.370000,1.370000,1.350000,1.360000,0.808510,19207
2017-02-06,1.360000,1.360000,1.350000,1.350000,0.802565,4354
2017-02-07,1.330000,1.370000,1.330000,1.360000,0.808510,57116
2017-02-08,1.360000,1.370000,1.350000,1.370000,0.814455,10444
2017-02-09,1.370000,1.380000,1.350000,1.380000,0.820400,30884
2017-02-10,1.370000,1.390000,1.340000,1.350000,0.802565,387335
2017-02-13,1.350000,1.390000,1.350000,1.390000,0.826344,57423
2017-02-14,1.390000,1.390000,1.370000,1.390000,0.826344,13003
2017-02-15,1.360000,1.380000,1.360000,1.360000,0.808510,17214
2017-02-16,1.360000,1.370000,1.340000,1.360000,0.808510,85983
2017-02-17,1.340000,1.380000,1.340000,1.380000,0.820400,421971
2017-02-20,1.380000,1.380000,1.370000,1.370000,0.814455,23084
2017-02-21,1.370000,1.390000,1.370000,1.390000,0.826344,19495
2017-02-22,1.390000,1.390000,1.360000,1.380000,0.820400,26160
2017-02-23,1.380000,1.380000,1.360000,1.370000,0.814455,24087
2017-02-24,1.370000,1.370000,1.340000,1.340000,0.796620,32943
2017-02-27,1.350000,1.360000,1.310000,1.320000,0.784730,98291
2017-02-28,1.320000,1.320000,1.280000,1.310000,0.778785,96893
2017-03-01,1.310000,1.330000,1.310000,1.330000,0.790675,24634
2017-03-02,1.330000,1.330000,1.310000,1.330000,0.790675,14079
2017-03-03,1.330000,1.330000,1.320000,1.330000,0.790675,19773
2017-03-06,1.330000,1.350000,1.320000,1.350000,0.802565,66886
2017-03-07,1.350000,1.350000,1.310000,1.320000,0.784730,90095
2017-03-08,1.320000,1.320000,1.290000,1.320000,0.784730,85077
2017-03-09,1.320000,1.320000,1.290000,1.320000,0.784730,74374
2017-03-10,1.310000,1.330000,1.310000,1.330000,0.790675,10087
2017-03-13,1.320000,1.340000,1.310000,1.340000,0.796620,7388
2017-03-14,1.330000,1.330000,1.320000,1.330000,0.790675,15189
2017-03-15,1.340000,1.350000,1.310000,1.320000,0.784730,33076
2017-03-16,1.330000,1.330000,1.300000,1.320000,0.784730,328084
2017-03-17,1.330000,1.340000,1.310000,1.340000,0.796620,29813
2017-03-20,1.340000,1.350000,1.320000,1.350000,0.802565,28482
2017-03-21,1.350000,1.360000,1.330000,1.340000,0.796620,39244
2017-03-22,1.340000,1.340000,1.320000,1.330000,0.790675,21053
2017-03-23,1.320000,1.340000,1.190000,1.340000,0.796620,85254
2017-03-24,1.340000,1.340000,1.320000,1.340000,0.796620,30622
2017-03-27,1.340000,1.350000,1.330000,1.340000,0.796620,244076
2017-03-28,1.250000,1.250000,1.200000,1.230000,0.807651,358340
2017-03-29,1.230000,1.240000,1.200000,1.230000,0.807651,95125
2017-03-30,1.230000,1.240000,1.210000,1.240000,0.814217,46079
2017-03-31,1.240000,1.260000,1.200000,1.250000,0.820784,155206
2017-04-03,1.250000,1.250000,1.220000,1.250000,0.820784,38816
2017-04-04,1.250000,1.250000,1.220000,1.230000,0.807651,25614
2017-04-05,1.230000,1.240000,1.220000,1.230000,0.807651,21568
2017-04-06,1.230000,1.230000,1.220000,1.230000,0.807651,14885
2017-04-07,1.220000,1.230000,1.220000,1.230000,0.807651,28395
2017-04-10,1.220000,1.230000,1.220000,1.230000,0.807651,20819
2017-04-11,1.220000,1.230000,1.220000,1.230000,0.807651,15559
2017-04-12,1.230000,1.230000,1.210000,1.230000,0.807651,47101
2017-04-13,1.230000,1.230000,1.220000,1.220000,0.801085,43683
2017-04-14,1.220000,1.230000,1.210000,1.230000,0.807651,9860
2017-04-17,1.230000,1.260000,1.220000,1.240000,0.814217,40877
2017-04-18,1.230000,1.240000,1.230000,1.240000,0.814217,14305
2017-04-19,1.240000,1.240000,1.220000,1.240000,0.814217,32780
2017-04-20,1.220000,1.240000,1.220000,1.240000,0.814217,18559
2017-04-21,1.230000,1.240000,1.220000,1.230000,0.807651,10001
2017-04-24,1.240000,1.240000,1.220000,1.230000,0.807651,20024
2017-04-25,1.240000,1.350000,1.230000,1.240000,0.814217,346409
2017-04-26,1.240000,1.250000,1.230000,1.240000,0.814217,56777
2017-04-27,1.250000,1.250000,1.240000,1.250000,0.820784,17158
2017-04-28,1.240000,1.260000,1.240000,1.260000,0.827350,10810
2017-05-01,1.260000,1.260000,1.260000,1.260000,0.827350,0
2017-05-02,1.260000,1.310000,1.240000,1.300000,0.853615,242383
2017-05-03,1.310000,1.450000,1.310000,1.400000,0.919278,1318881
2017-05-04,1.410000,1.420000,1.390000,1.400000,0.919278,226963
2017-05-05,1.390000,1.440000,1.390000,1.400000,0.919278,63450
2017-05-08,1.410000,1.420000,1.370000,1.370000,0.899579,219670
2017-05-09,1.370000,1.410000,1.370000,1.400000,0.919278,139922
2017-05-10,1.380000,1.400000,1.380000,1.400000,0.919278,66012
2017-05-11,1.400000,1.400000,1.390000,1.390000,0.912711,19849
2017-05-12,1.390000,1.410000,1.380000,1.380000,0.906145,30912
2017-05-15,1.380000,1.400000,1.380000,1.380000,0.906145,23321
2017-05-16,1.380000,1.400000,1.380000,1.390000,0.912711,26526
2017-05-17,1.400000,1.400000,1.380000,1.380000,0.906145,4645
2017-05-18,1.390000,1.390000,1.370000,1.380000,0.906145,11507
2017-05-19,1.380000,1.380000,1.380000,1.380000,0.906145,0
2017-05-22,1.380000,1.480000,1.380000,1.450000,0.952109,681686
2017-05-23,1.450000,1.510000,1.450000,1.490000,0.978374,493199
2017-05-24,1.490000,1.510000,1.490000,1.490000,0.978374,108392
2017-05-25,1.490000,1.500000,1.460000,1.500000,0.984940,22369
2017-05-26,1.500000,1.510000,1.470000,1.510000,0.991507,45086
2017-05-29,1.520000,1.520000,1.480000,1.510000,0.991507,50256
2017-05-30,1.500000,1.510000,1.490000,1.510000,0.991507,43667
2017-05-31,1.520000,1.540000,1.520000,1.540000,1.011205,396081
2017-06-01,1.540000,1.540000,1.390000,1.520000,0.998073,325272
2017-06-02,1.520000,1.540000,1.470000,1.500000,0.984940,2768
2017-06-05,1.500000,1.540000,1.490000,1.530000,1.004639,15589
2017-06-06,1.530000,1.530000,1.460000,1.530000,1.004639,41669
2017-06-07,1.510000,1.540000,1.490000,1.500000,0.984940,141408
2017-06-08,1.510000,1.530000,1.490000,1.500000,0.984940,85751
2017-06-09,1.500000,1.530000,1.490000,1.530000,1.004639,103354
2017-06-12,1.530000,1.530000,1.490000,1.520000,0.998073,29980
2017-06-13,1.530000,1.530000,1.490000,1.500000,0.984940,41651
2017-06-14,1.500000,1.520000,1.490000,1.500000,0.984940,70263
2017-06-15,1.510000,1.540000,1.490000,1.520000,0.998073,77370
2017-06-16,1.520000,1.550000,1.500000,1.510000,0.991507,2046
2017-06-19,1.530000,1.530000,1.500000,1.510000,0.991507,23935
2017-06-20,1.500000,1.520000,1.490000,1.510000,0.991507,36279
